12/1/2016,12:50:00;01, 48.07098,0;02, .000005911322,0;03, 14.53048,0;04, .3698808,0;
12/1/2016,12:50:01;01, 48.07098,0;02, .00000494005,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:02;01, 48.07098,0;02, .000005057069,0;03, 14.47438,0;04, .3698808,0;
12/1/2016,12:50:03;01, 48.07793,0;02, .000005216023,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:50:04;01, 48.07793,0;02, .000005216023,0;03, 14.58658,0;04, .3753972,0;
12/1/2016,12:50:05;01, 48.07793,0;02, .000005887512,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:50:06;01, 48.07793,0;02, .000005106302,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:07;01, 48.07793,0;02, .00000527673,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:50:08;01, 48.07793,0;02, .000004964033,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:50:09;01, 48.07793,0;02, .000004964033,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:50:10;01, 48.05011,0;02, .000003913094,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:50:11;01, 48.05011,0;02, .000003986434,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:12;01, 48.05011,0;02, .000003967169,0;03, 14.56788,0;04, .3698808,0;
12/1/2016,12:50:13;01, 48.05011,0;02, .000003823569,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:50:14;01, 48.05011,0;02, .000003823569,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:50:15;01, 48.05708,0;02, .000004708991,0;03, 14.51178,0;04, .3753972,0;
12/1/2016,12:50:16;01, 48.05708,0;02, .00000444427,0;03, 14.47438,0;04, .3809136,0;
12/1/2016,12:50:17;01, 48.06403,0;02, .000005976905,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:50:18;01, 48.05708,0;02, .000007590294,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:50:19;01, 48.05708,0;02, .000007590294,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:50:20;01, 48.05011,0;02, .000006341447,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:50:21;01, 48.07098,0;02, .000006051356,0;03, 14.58658,0;04, .3809136,0;
12/1/2016,12:50:22;01, 48.05708,0;02, .000005976905,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:50:23;01, 48.03621,0;02, .000006965889,0;03, 14.86707,0;04, .3753972,0;
12/1/2016,12:50:24;01, 48.03621,0;02, .000006965889,0;03, 14.86707,0;04, .3753972,0;
12/1/2016,12:50:25;01, 48.04315,0;02, .000007674504,0;03, 14.81097,0;04, .3809136,0;
12/1/2016,12:50:26;01, 48.02925,0;02, .000008197547,0;03, 14.53048,0;04, .3753972,0;
12/1/2016,12:50:27;01, 48.02925,0;02, .000006863543,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:28;01, 48.02925,0;02, .00000644293,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:29;01, 48.02925,0;02, .00000644293,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:30;01, 48.02925,0;02, .000008655499,0;03, 14.56788,0;04, .3698808,0;
12/1/2016,12:50:31;01, 48.03621,0;02, .000007270418,0;03, 14.62397,0;04, .3753972,0;
12/1/2016,12:50:32;01, 48.02229,0;02, .000009518051,0;03, 14.60528,0;04, .3698808,0;
12/1/2016,12:50:33;01, 48.02925,0;02, .000009830436,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:50:34;01, 48.02925,0;02, .000009830436,0;03, 14.45568,0;04, .3698808,0;
12/1/2016,12:50:35;01, 48.01534,0;02, .00001010672,0;03, 14.49308,0;04, .3753972,0;
12/1/2016,12:50:36;01, 48.02229,0;02, .00000986223,0;03, 14.47438,0;04, .3753972,0;
12/1/2016,12:50:37;01, 48.01534,0;02, .000008339961,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:50:38;01, 48.01534,0;02, .000006994069,0;03, 14.96057,0;04, .3698808,0;
12/1/2016,12:50:39;01, 48.01534,0;02, .000006994069,0;03, 14.96057,0;04, .3698808,0;
12/1/2016,12:50:40;01, 48.01534,0;02, .000006126728,0;03, 14.66137,0;04, .3753972,0;
12/1/2016,12:50:41;01, 48.00143,0;02, .000008744468,0;03, 14.51178,0;04, .3698808,0;
12/1/2016,12:50:42;01, 48.01534,0;02, .000006260059,0;03, 14.45568,0;04, .3753972,0;
12/1/2016,12:50:43;01, 48.02229,0;02, .000006572526,0;03, 14.49308,0;04, .3753972,0;
